num_people,showers_per_day,washing_machine_uses,dishwasher_uses,ac_hours,fridge_hours,house_area,temperature,water_liters,electricity_kwh
6,3,0,0,2,23,102,31,574.5083255011093,11.303480546787153
1,3,1,1,4,20,186,31,377.41856055861143,17.778369735432626
4,2,0,0,6,23,106,38,356.6288825187448,18.430745369653813
2,2,0,1,4,18,166,25,281.01672382448874,12.919947527387476
4,3,0,0,4,19,84,21,462.5350638385241,10.019985218009195
2,3,1,0,4,20,112,31,398.6463245465582,9.173062679463197
6,2,0,0,9,19,74,38,474.62430986685746,18.26201892865571
6,1,0,1,9,20,139,24,423.5659882238408,19.080984987286506
6,1,1,0,2,22,124,31,449.03940938571645,11.212381964058654
2,2,1,1,0,21,87,36,385.9731946832867,5.241322861106721
4,1,0,0,4,22,179,36,282.1535973945321,15.29659201004435
6,2,0,0,8,23,184,29,476.6817143721661,23.546380210853318
5,1,1,1,0,19,140,36,420.10593262164434,10.288466820971967
2,1,1,0,2,23,66,34,235.5312637178635,7.776955884682109
2,3,1,0,3,21,177,31,424.62291058515217,16.085627838952792
4,3,1,1,0,20,157,35,548.6168048866749,11.42980016007575
2,1,1,0,0,21,74,38,254.86615328256732,5.0171489666265305
2,1,0,0,7,18,137,27,173.12623304124432,14.111840878727584
6,3,1,0,1,21,78,36,640.9841895305261,5.401676745995922
4,3,0,0,7,18,112,24,417.66828391492305,13.118942793234966
6,3,0,1,6,21,199,35,546.5731398053806,21.578869291985814
6,2,0,1,9,18,163,25,508.84333010327657,23.426230432895363
4,1,1,0,9,19,98,27,367.20192768286137,20.772747760318033
1,3,0,1,1,23,130,37,327.07525557983735,5.960888902045663
6,1,0,0,5,23,133,31,374.24095556194385,17.092801820747443
5,2,1,1,5,22,154,34,520.0484425838082,20.32438261876937
5,2,0,0,2,23,197,28,444.4166059423907,16.77397542762129
2,3,0,0,1,20,167,32,390.3109241574845,7.247540764258662
5,2,1,0,0,21,135,34,446.87172589049686,12.386596616793543
2,1,0,0,5,22,112,29,171.62159761502906,13.883378074263884
1,3,0,0,4,20,153,35,280.3645347403032,13.985201786999056
4,1,0,0,8,20,98,26,312.53038943399366,17.402190593165958
4,1,1,1,0,18,120,36,330.374100268696,5.701986154859027
4,2,1,0,6,23,50,26,440.2767038613109,12.005564741843157
5,2,1,1,4,19,190,33,504.8637938316193,19.440859290208145
1,2,0,0,4,19,172,34,242.7622549909528,16.544793741046576
5,2,0,1,1,22,111,26,470.0207768000892,9.066802944205337
5,2,1,1,2,19,81,28,517.3101346965339,8.529216319855218
1,3,0,1,6,21,78,38,288.4055385857641,10.837212033402396
1,1,0,0,5,19,98,35,118.52221035329734,12.50002421720055
1,1,1,0,1,22,79,27,190.71217846772524,4.081409328740466
1,1,1,1,5,19,193,37,203.4709041109307,19.59488190478762
4,1,0,0,1,21,68,37,303.0916856371874,2.328579035049315
3,2,0,1,1,18,67,39,310.93147005451186,8.05980075924142
3,1,0,0,1,22,50,26,269.3065501690742,7.858821801668124
1,3,1,1,2,18,127,22,429.25645268090915,13.18752923145439
3,3,1,1,1,18,164,37,482.29879476280985,11.373718326323607
3,1,1,0,3,18,162,29,306.5699074025963,15.333256932315058
1,1,1,1,8,20,163,26,228.5543304385915,19.430506719269566
3,3,0,0,5,23,112,36,408.03649600723384,11.526605764624135
5,3,1,1,0,20,181,33,615.4935467712952,14.111464785075992
2,2,1,1,7,23,178,22,365.15993984240134,19.406228340769854
2,3,1,0,6,18,57,31,419.38233419562124,9.03097736505361
1,2,1,0,9,22,104,32,267.5879147212097,17.266370108420436
4,2,1,0,2,23,152,21,438.73427933780675,11.445350634863658
1,2,0,1,0,21,180,22,243.25524157847963,12.023393836248424
4,2,0,0,4,21,81,24,341.76411022497285,15.644094966745461
2,2,1,1,3,19,59,30,359.7192578131378,9.49483722656513
1,1,0,1,9,23,159,27,152.33634964027854,21.463687703993052
6,3,1,0,7,22,173,31,597.8100883636388,24.16155239912511
5,2,1,0,0,20,136,26,457.07017584800866,10.757787079825452
3,3,0,1,9,18,104,34,421.25005466498953,18.30849840826986
4,3,0,1,0,19,81,36,454.39051987349313,4.99117628236381
6,2,1,0,3,21,184,23,520.577836553946,15.532400152409123
3,1,1,0,7,20,142,32,321.50248550434577,17.367219191813728
3,2,1,0,4,20,57,37,392.64232202536755,9.832868255117994
1,1,0,0,1,18,114,20,110.42466704277493,11.328804849538944
3,3,1,0,5,23,106,35,467.0378213581287,12.519355633725025
5,1,1,1,4,21,116,32,432.6556139652831,13.727081416327028
6,1,1,1,1,22,121,29,514.0339241706693,11.34787997967519
3,1,0,1,2,20,103,31,287.6629000174455,8.225774966351182
1,3,1,1,8,18,116,21,359.3250254858033,15.554757169021801
5,3,1,0,6,22,100,22,577.222553379172,14.099316154838192
2,1,0,0,6,23,146,29,205.30394503247396,15.876740819487079
6,1,1,0,5,21,141,21,461.1871841745666,17.454665217483008
3,2,1,1,7,23,57,32,403.2917571261162,11.546463442870692
1,1,0,1,3,20,84,32,208.26787830234272,9.936942737057342
2,2,1,0,7,22,145,37,343.0281856185404,22.94209666680895
2,1,0,0,3,22,137,22,219.53088547456457,13.476113067572365
4,2,0,1,7,22,127,26,417.02956858947016,18.108580288609772
5,3,1,1,8,20,81,33,599.2826932044661,17.97136499139425
3,1,1,0,2,20,169,39,288.40598177052743,11.924101869149283
1,1,1,0,2,23,95,36,199.51790243694998,7.287160742509192
4,1,1,1,1,19,193,31,375.56175094412896,13.10302255232549
5,1,0,0,9,23,191,35,305.7096208870146,23.180807656697073
4,2,1,0,2,21,104,31,443.00563149919407,6.463578410573676
6,1,0,0,2,18,56,34,411.3470600391882,7.750143829365555
5,3,1,1,4,22,123,29,584.033930108971,15.289700997402079
5,3,1,1,4,19,56,26,633.2731299844947,7.674103853951982
3,1,1,1,1,18,134,39,298.8483442827653,10.571111696749625
5,3,0,1,9,19,196,24,541.0872709677441,24.284527320740267
4,1,1,1,5,23,161,20,413.4304047081082,17.523356417060164
5,1,1,1,4,20,174,36,425.9193883803788,16.862012477483113
3,3,1,1,5,22,196,22,486.2788698971424,17.510399516387398
3,1,1,0,0,23,85,32,320.855303516888,4.294991324518809
6,3,0,0,4,18,78,33,550.1198221991907,9.605707075232173
4,2,1,0,8,18,131,37,390.05177313080986,16.777885796258754
2,1,0,0,9,18,51,23,163.13253690921238,14.989481907584908
2,2,0,0,1,18,178,37,259.7290090390508,14.08654181091986
5,3,0,0,0,18,96,24,462.60603640629864,3.976319743671663
6,2,0,0,9,19,197,35,450.5165136714019,22.83850004563478
1,2,0,1,8,23,60,20,213.10629149512133,12.773196708964296
5,3,0,1,9,22,179,33,512.5965873889322,20.46990616435446
6,2,1,0,8,20,168,34,523.2675454535768,21.117481505223683
4,2,0,0,8,20,189,28,367.0350935318743,18.670109893268602
4,3,0,1,5,23,69,34,468.16481352001,13.218488579405957
4,2,0,0,7,23,54,36,370.0557944208151,10.695671106750552
4,3,1,0,0,20,86,23,517.6708801494784,7.63396080687632
4,2,1,1,9,20,186,31,480.62679988528623,19.000937460842977
6,3,0,0,3,19,102,24,557.4756608192023,9.364374641486771
6,3,1,1,0,21,148,24,655.3624767026944,13.292988766259123
3,2,0,0,7,22,135,30,372.09734856933443,20.767092739533773
2,2,0,1,0,18,157,25,296.9480527328466,8.82495069496571
4,2,1,1,2,21,73,26,511.87143007717725,8.929921172059803
1,1,0,1,3,23,130,33,168.24436804487868,14.808136037769769
6,1,1,0,7,20,169,30,448.3429817038822,20.212592348840943
1,1,1,1,5,21,108,32,222.53669635573607,12.953071507090351
1,3,0,0,9,22,177,21,320.1945159689686,20.352729371927335
1,2,0,0,6,23,163,26,242.81006785775875,19.386206285915858
3,3,1,0,7,18,164,39,471.99567711929456,20.661406617229005
6,1,0,0,1,18,63,23,402.6709354900541,9.581403668788777
1,2,0,1,9,22,58,27,214.45559068153833,12.525501153093858
4,3,0,1,7,22,89,39,439.0244035497558,12.543750423597896
5,2,1,0,2,20,74,38,504.92653771594905,10.423847204294162
1,3,1,0,6,18,152,32,357.46377004193954,13.496938906499647
3,2,0,1,2,23,71,33,354.98604834795003,10.727099909823865
6,1,1,0,6,21,53,29,435.6542410008784,11.520134988029215
3,1,1,1,1,23,78,30,363.13976939409554,6.3581723613266306
1,2,1,0,9,19,158,21,249.19162656221928,21.01085719254294
6,3,1,0,5,19,147,28,582.2882982703462,12.559263095529003
5,1,1,1,2,22,86,36,458.8862316742469,10.548029661196702
1,1,0,0,2,20,124,22,77.80316414034199,13.979273995389395
3,1,0,1,8,19,119,25,267.5713773618983,19.19115243162848
2,2,0,0,6,18,195,24,257.85348008806847,18.25698261489172
4,2,1,0,4,23,177,24,415.2809616159994,12.873928584469118
3,3,1,0,9,23,134,34,456.0012030281926,16.800825087594134
6,3,0,1,6,22,91,36,553.0495301382037,11.290713395521383
